6552,Antequera Santa Ana,37.070813,-4.720037
6553,Mérida,38.921548,-6.343157
6554,Mataró,41.533375,2.445464
6556,Logroño,42.457778,-2.440833
6558,Jaca,42.578261,-0.538759
6559,Huesca,42.133178,-0.409953
6560,Huelva,37.252655,-6.950675
6561,Gijón-Sanz Crespo,43.537697,-5.675932
6562,Elx Parc,38.269209,-0.706462
23910,Cullera,39.17792,-0.263365
6564,Cartagena,37.605023,-0.974763
6565,Cambrils,41.07005,1.052888
23768,Benicasim,40.058126,0.057863
6567,Canfranc,42.751258,-0.513805
24419,Sevilla Santa Justa,37.391925,-5.975264
6569,Águilas,37.410011,-1.57286
6570,Málaga-María Zambrano,36.711819,-4.43214
6571,Avilés,43.5612,-5.9228
6572,Ayamonte,37.21667,-7.4
6573,Ciudad Real,38.985029,-3.912914
6574,Gandía,38.970503,-0.180566
6575,Guillarei,42.065669,-8.622264
6576,Manresa,41.720231,1.826482
6577,Orihuela-Miguel Hernández,38.077739,-0.944541
27122,Pineda,41.0743152,1.1782226
6579,Pontevedra,42.421534,-8.635496
6580,Puertollano,38.691199,-4.111989
6581,Santander Estación,43.458287,-3.811435
6582,Talavera de la Reina,39.970778,-4.826919
6583,Torrelavega,43.327556,-4.042422
6584,Tudela de Navarra,42.05952,-1.597553
6585,Utrera,37.183241,-5.790221
6588,Caspe,41.240054,-0.04233
6590,Sarria,42.784392,-7.418725
6591,Jerez de la Frontera,36.6782,-6.125159
6592,Puerto de Santa María,36.604075,-6.217766
6593,Vilanova i la Geltrú,41.220089,1.731241
6594,Calasparra,38.269353,-1.680065
6596,Guadalajara,40.632399,-3.160243
23714,Arenys de Mar,41.577465,2.549457
6598,Ferrol,43.488266,-8.230855
6599,Betanzos-Cidade,43.284264,-8.215673
6600,Reus,41.160644,1.100216
5638,Vic,46.126979,3.430448
6602,Alacant-Terminal,38.344444,-0.494972
6603,Aguilar de la Frontera,37.5245,-4.66082
6548,Algeciras,36.12672,-5.450995
6606,Almería,36.883792,-2.435914
6607,Alsasua,42.8957,-2.18146
2882,Andorre,42.5894535,1.8002635
23715,Arévalo,41.047613,-4.702005
6610,La Garrovilla,38.915453,-6.474067
23112,Arbos,40.6516981,14.8131576
6612,Corcos-Aguilarejo,41.76613,-4.623637
6613,Astorga,42.459513,-6.047124
6614,Ávila,40.657212,-4.682948
6615,Bilbao Abando,43.259715,-2.927507
6616,Barcelona Sant Andreu Condal,41.435884,2.193529
6617,Barcelona,41.38227072942428,2.177385091781616
6618,Benicarló-Peñiscola,40.427088,0.414753
6619,O Barco de Valdeorras,42.4182,-6.98493
6620,Badajoz,38.890867,-6.981822
6621,Blanes,41.673431,2.769158
6622,Bobadilla,37.037445,-4.727831
6623,Barcelona Plaça de Catalunya,41.387702,2.169285
6624,Barcelona Passeig de Gracia,41.392089,2.164755
6625,Barcelona Sants,41.378911,2.140367
6626,Barcelona Estació de França,41.383657,2.186733
6627,Burgos,42.35,-3.7
6629,Cádiz,36.527945,-6.286893
6630,Cáceres,39.461197,-6.385972
6567,Canfranc,42.751258,-0.513805
6632,Calella,41.614536,2.666028
6633,Caldas de Malavella,41.841181,2.800607
6634,Cantalapiedra,41.133361,-5.183665
6635,Oza de los Ríos,43.218149,-8.18706
6636,Caminreal-Fuentes Claras,40.850777,-1.338673
6637,Ciudad Rodrigo,40.618648,-6.520316
6638,Castellón de la Plana,39.988262,-0.052083
6639,Castejón de Ebro,42.172811,-1.692156
6640,Cuenca,40.070409,-2.137628
6641,Cieza,38.246503,-1.42141
6642,San Sebastián-Donostia,43.317668,-1.976781
6643,Torrelodones,40.574313,-3.956566
6644,Viana,41.524842,-4.754754
6646,Fuentes de Onoro,40.598737,-6.824583
6646,Fuentes de Oñoro,40.598737,-6.824583
6647,Fuengirola,36.5418,-4.62403
6648,Figueres,42.264951,2.969271
6649,Fuente de San Esteban Boadilla,40.792763,-6.249765
6650,Flassa,42.047537,2.957235
6652,Guadix,37.3178,-3.127284
6653,Brenes,37.5463,-5.86677
6654,Granollers Centro,41.599308,2.29162
6655,Girona,41.979516,2.816482
6656,Granada,37.183906,-3.609061
6513,Irún,43.339404,-1.80115
6658,Jaén,37.780223,-3.790975
6659,A Coruña-San Cristovo,43.352681,-8.409651
6660,León,42.595888,-5.582382
6661,Lugo,43.015307,-7.55226
6662,Valdestillas,41.489083,-4.772633
6663,Madrid,40.416824,-3.703733
6664,Madrid Príncipe Pio,40.421272,-3.718846
6667,Madrid Atocha,40.405963,-3.689757
6668,Madrid-Chamartín-Clara Campoamor,40.472151,-3.68235
6669,Medina del Campo Estación,41.317676,-4.910474
6670,Miranda de Ebro,42.690554,-2.94091
6671,Murcia,37.974489,-1.131499
6672,Cordoba,37.888714,-4.789353
6673,Port Aventura,41.089251,1.146214
6674,Plasencia Ciudad,40.021639,-6.099738
6675,Pamplona/Iruña,42.825122,-1.661889
4986,Port-Bou,42.424725,3.157847
6677,Tarragona Estació,41.111212,1.253527
6679,Redondela de Galicia,42.286165,-8.61945
6681,San Fernando de Cádiz,36.4758,-6.19444
6682,Salamanca,40.971547,-5.648659
6683,Sevilla,37.389254,-5.984458
6684,Camp Tarragona,41.192025,1.271587
6685,Torremolinos,36.6225,-4.49931
6686,Tui,42.0565,-8.64302
6483,Valencia de Alcantar,39.427119,-7.23085
6688,Venta de Baños,41.9172,-4.49604
6689,Vigo,42.236541,-8.713736
6690,Valencia Estaciò Nord,39.466932,-0.377151
10481,Figueras (Figueres),42.26478,2.943023
10481,Figueres—Vilafant,42.26478,2.943023
22676,Zaragoza Delicias,41.658439,-0.909906
22676,Zaragoza Delicias,41.658439,-0.909906
23634,Valencia,39.470036,-0.376279
23636,A Alberguería-Prado,42.1257,-7.5126
23637,A Escravitude,42.739,-8.65259
23638,A Friela-Maside,42.411637,-8.028661
23639,A Gudiña,42.060841,-7.132482
23640,A Mezquita-Vilavella,42.0442,-7.01972
23641,A Pobra do Brollón,42.533714,-7.399964
23642,Abejera,41.809845,-6.142913
23643,Ablaña,43.267616,-5.806411
23644,Málaga Aeropuerto,36.675646,-4.487032
23645,Ager,42.006034,0.849471
23646,Agoncillo,42.443818,-2.29144
23647,Agres,38.797002,-0.521787
23648,Aguadulce Bus,36.81386,-2.573793
23649,Aguilar de Campoo,42.785606,-4.233388
23650,Aguilar de Segarra,41.738623,1.632503
23651,Agullent,38.830514,-0.551443
23652,Alagón,41.771488,-1.11246
23653,Alamedilla-Guadahortuna,37.5802039,-3.3029375
23654,Alanís,37.99666,-5.758413
23655,Alar del Rey-San Quirce,42.6568,-4.31138
23656,Albaida,38.845787,-0.518587
23657,Albatera-Catral,38.166885,-0.838289
23658,Albuixech,39.543296,-0.320564
23659,Alcalá de Henares,40.489087,-3.366226
23660,Alcalá de Xivert,40.303441,0.228874
23661,Alcalá Henares-Universidad,40.505348,-3.335267
23662,Alcanadre,42.407681,-2.121939
23663,Alcantarilla,37.972189,-1.215776
23664,Alcantarilla los Romanos,37.964053,-1.216977
23665,Alcázar de San Juan,39.395477,-3.206209
23666,Alcoletge,41.654719,0.68644
23667,Alcover,41.261575,1.17426
23668,Alcoi,38.709645,-0.470144
23669,Aldaia,39.461,-0.463239
23670,Aldealengua,40.979601,-5.553158
23671,Alfafar-Benetusser,39.422409,-0.392765
23672,Alfaro,42.186295,-1.747745
23673,Algemesi,39.192941,-0.441082
23674,Alhama de Aragón,41.294439,-1.901838
23675,Alhama de Murcia,37.84935,-1.414452
23676,Aljucen,38.936281,-6.407564
23677,Almadenejos-Almaden,38.740433,-4.730393
23678,Almagro,38.895434,-3.708976
23679,Almansa,38.867675,-1.105619
23680,Almargen-Cañete la Real,37.001038,-5.020358
23681,Almazora,39.954858,-0.076668
23682,Almazán,41.4891,-2.52545
23683,Almenara,39.748735,-0.218141
23684,Almendralejo,38.684718,-6.399582
23685,Almonaster-Cortegana,37.900975,-6.797319
23686,Almoraima,36.277326,-5.429763
23687,Almorchon,38.69653,-5.290115
23688,Almuradiel-Viso del Marques,38.5143,-3.50189
23689,Alora,36.819906,-4.698823
23690,Alpedrete-Mataespesa,40.658057,-4.035122
23691,Altafulla-Tamarit,41.136562,1.373318
23692,Aeropuerto Alacant-Altet Bus,38.287366,-0.559905
23693,Altsasu Pueblo,42.894789,-2.181187
23694,Alzira,39.15346,-0.451042
23695,Ametzola,43.254726,-2.943409
23696,Amusco,42.178106,-4.480592
23698,Andújar,38.028173,-4.065847
23699,Anglesola,41.638573,1.036384
23700,Antequera,37.020055,-4.55936
23701,Anzanigo,42.403393,-0.645686
23702,Araia,42.869394,-2.30656
23703,Aranguren (Biscay),43.21049,-3.111031
23704,Aranguren Apeadero,43.210823,-3.115876
23705,Aranjuez,40.0347,-3.618877
23706,Aravaca,40.448581,-3.785627
23707,Arañales de Muel,41.468048,-1.087479
23708,Arbo,42.106866,-8.300225
23709,Arcade,42.34046,-8.610623
23710,Archena-Fortuna,38.127647,-1.233517
